county_name,State,county formatted,crime_rate_per_100000,PCTPOVALL_2020,diversity index,noaa/temp-jan,noaa/temp-apr,noaa/temp-jul,noaa/temp-oct,edu/some-college,bls/2020/unemployed,life-expectancy,population/2019,avg_income,poverty-rate,Unemployment_rate,cost-of-living/living_wage,cost-of-living/food_costs,cost-of-living/medical_costs,cost-of-living/housing_costs,cost-of-living/tax_costs
"Arapahoe County, CO", CO,Arapahoe County CO,297.9886998,7,0.556092,31.6,47.9,72.5,49.9,29,28825,80.02,656590,60180,7.2,8.9,17.4,3792,2810,13368,6726
"Archer County, TX", TX,Archer County TX,138.2329225,6.9,0.207306,42.2,63.4,84.3,64.8,31,208,79.29,8553,50310,10.3,6.8,12.31,3177,2760,6300,3572
"Archuleta County, CO", CO,Archuleta County CO,196.8181073,9.4,0.364597,23.2,42.6,65.6,45.8,34.2,538,82.08,14029,41947,10.8,9.7,14.42,3792,2810,8316,5573
"Arenac County, MI", MI,Arenac County MI,154.9686834,12.8,0.096748,20.1,43.3,68.1,47.6,34,675,77.24,14883,37369,17.2,11.5,12.55,3246,2594,5580,4752
"Arkansas County, AR", AR,Arkansas County AR,591.1487458,17.2,0.444622,41,62.3,81.5,63.3,29.2,378,74.57,17486,45290,15.8,7,13.1,3177,2633,5616,6032
"Arlington County, VA", VA,Arlington County VA,135.6122113,6,0.552435,36,56.8,79.8,59.5,11.2,6773,82.76,236842,95198,7.6,8,19.92,3177,2866,17484,8110
"Armstrong County, PA", PA,Armstrong County PA,96.90633856,11.7,0.05112,26,48,70.5,50.2,24.6,3074,78.21,64735,45510,11.1,4.5,11.92,3690,2729,5808,3459
"Armstrong County, TX", TX,Armstrong County TX,51.30836326,9.3,0.231825,36,55.3,77.6,57.6,41.6,39,77.22,1887,47995,10.6,14.2,12.79,3177,2760,7152,3711
"Aroostook County, ME", ME,Aroostook County ME,84.21954179,15.3,0.102487,9.4,38,65.3,42.9,32,1613,78.71,67055,41241,15.5,6.6,13.74,3690,2634,6240,6899
"Arthur County, NE", NE,Arthur County NE,98.81473579,12.3,0.131888,25.4,47,73.8,48.5,41.6,12,79.9,463,46901,13.6,7.1,13.48,3246,2783,6456,5618
"Ascension Parish, LA", LA,Ascension Parish LA,67.31181104,9.6,0.455234,51.3,67.4,82,68.8,29.9,4329,77.14,126604,49829,9.6,12.4,14.3,3177,3042,8136,5589
"Ashe County, NC", NC,Ashe County NC,103.1269567,14.5,0.137937,31.1,49.1,68.8,50.7,33.7,786,77.71,27203,36300,14.6,9.1,13.05,3177,2728,6072,5359
"Ashland County, OH", OH,Ashland County OH,65.9842015,11.4,0.076115,25.3,48.6,71.4,51.4,25.9,1709,78.78,53484,38441,12.6,4.8,12.56,3246,2720,5436,4790
"Ashland County, WI", WI,Ashland County WI,330.9190809,12.5,0.288816,12.3,39.7,66.3,44.4,35.4,651,77.69,15562,41106,17.8,6,13.72,3246,2754,6540,6066
"Ashley County, AR", AR,Ashley County AR,244.3264577,17.1,0.470825,42.4,62.4,81,63.6,27.3,668,74.72,19657,34813,18.5,5,13.04,3177,2633,5508,6005
"Ashtabula County, OH", OH,Ashtabula County OH,94.17799641,16.5,0.181353,25.6,47.4,70.2,51.6,27.2,3645,76.64,97241,38461,18.7,4.1,12.82,3246,2720,5880,4882
"Asotin County, WA", WA,Asotin County WA,226.1420172,14.1,0.16414,35.6,51.3,74.4,51.8,42,538,79.19,22582,47104,13.8,4,12.46,3792,2206,6792,3614
"Assumption Parish, LA", LA,Assumption Parish LA,375.2102471,15.8,0.468315,51.3,67.4,82,68.8,19.7,893,76.84,21891,46788,18.8,5.1,13.74,3177,3042,7176,5379
"Atascosa County, TX", TX,Atascosa County TX,161.3827957,14.9,0.483069,52.9,70.5,84.5,72.1,23.9,1843,77.73,51153,36660,14.7,4.5,12.58,3177,2760,6780,3650
"Atchison County, KS", KS,Atchison County KS,358.2303421,13.1,0.210779,27.4,53.8,78.1,56,32.3,471,77.69,16073,37436,13.8,5.5,13.16,3246,2543,6288,5364
"Atchison County, MO", MO,Atchison County MO,165.1679207,12,0.062675,24.5,51.8,75.3,52.8,29.5,110,78.39,5143,42633,12.9,6.5,12.73,3246,2681,5112,5509
"Athens County, OH", OH,Athens County OH,85.03269894,22,0.185617,29,51.7,72.8,53,24.7,1993,76.9,65327,33274,26.6,5,14.18,3246,2720,8220,5365
"Atkinson County, GA", GA,Atkinson County GA,373.9445115,21.6,0.588653,48.4,65.3,81.8,66.9,20.3,172,73.92,8165,30511,23.2,4.7,13.08,3177,2713,5892,5616
"Atlantic County, NJ", NJ,Atlantic County NJ,457.4751144,13.8,0.602527,33.1,51.8,75.8,56.2,26.9,21491,77.71,263670,48668,11.3,8.7,14.94,3690,2864,10464,4950
"Atoka County, OK", OK,Atoka County OK,93.53863865,18.6,0.45183,40,61.2,82.3,63,28,365,76.03,13758,32379,19.2,4.1,13.07,3177,2646,6132,5430
"Attala County, MS", MS,Attala County MS,93.18217114,18.8,0.519001,42,61.3,79.7,62.1,31.2,580,73.58,18174,33809,24.1,12.9,12.9,3177,2724,5904,5236
"Audrain County, MO", MO,Audrain County MO,175.3633919,17.8,0.221504,28,53.8,77,55.4,25.7,611,77.47,25388,40111,16.3,3.4,12.86,3246,2681,5328,5563
"Audubon County, IA", IA,Audubon County IA,68.10829218,9.6,0.0492,19.1,48.4,73,49.9,35.3,103,80.54,5496,48279,10.9,7.4,13.55,3246,2791,5964,6243
"Auglaize County, OH", OH,Auglaize County OH,39.19860627,5.9,0.066494,25.9,50,73.3,53.4,30.3,1701,79.16,45656,49578,7.3,3.7,12.99,3246,2720,6180,4944
"Augusta County, VA", VA,Augusta County VA,117.7075441,8.3,0.156634,32.7,52.2,73.6,54.2,25.9,1702,78.66,75558,44316,7.3,2.8,14.38,3177,2866,8136,5924
"Aurora County, SD", SD,Aurora County SD,151.7281133,10.2,0.147695,18.2,45.9,74.1,48.1,32.1,48,80.1,2751,45253,10.2,3,12.21,3246,2831,5844,3544
"Austin County, TX", TX,Austin County TX,194.1276389,11.4,0.51843,51,67.8,83.1,70.4,30.9,897,78.19,30032,50702,11.1,4.7,13.63,3177,2760,8664,3956
"Autauga County, AL", AL,Autauga County AL,251.6019259,11.2,0.388898,43.1,61.4,79.6,62.7,28.4,1262,75.67,55869,41618,12.1,3.3,13.58,3177,2889,6996,5395
"Avery County, NC", NC,Avery County NC,135.4937052,15.8,0.196666,29.5,47.7,66.7,50.3,32.7,462,77.58,17557,36574,16.4,3.4,13.45,3177,2728,6744,5525
"Avoyelles Parish, LA", LA,Avoyelles Parish LA,777.2585293,21.6,0.476636,48.9,66.8,82.4,67.7,26.7,1202,74.03,40144,37911,24.4,8.6,12.81,3177,3042,5592,5033
"Baca County, CO", CO,Baca County CO,135.7957632,16.9,0.241141,32.9,52.3,76.7,54.6,36.8,50,77.95,3581,40968,19.3,4.7,13.81,3792,2810,7272,5335
"Bacon County, GA", GA,Bacon County GA,392.296719,21.1,0.408091,50.7,66.2,82,68.4,29.2,227,72.91,11164,33080,19.2,4,13.54,3177,2713,6672,5810
"Bailey County, TX", TX,Bailey County TX,140.5678943,14.4,0.491621,37.1,56.2,77,57.8,24.6,117,78.22,7000,42507,15.9,4.6,12.34,3177,2760,6348,3580
"Baker County, FL", FL,Baker County FL,236.922963,12.8,0.307153,51.5,65.4,80.7,68.8,29.9,580,75.25,29210,32313,14.9,4,12.31,3177,2792,6264,3572
"Baker County, GA", GA,Baker County GA,209.5181084,23.7,0.554672,48.4,64.9,81.2,66.8,29.8,69,77.97,3038,38666,24.8,5.3,13.87,3177,2713,7212,5945
