county_name,State,county formatted,crime_rate_per_100000,PCTPOVALL_2020,diversity index,noaa/temp-jan,noaa/temp-apr,noaa/temp-jul,noaa/temp-oct,temp_avg,edu/some-college,bls/2020/unemployed,life-expectancy,population/2019,avg_income,poverty-rate,Unemployment_rate,cost-of-living/living_wage,cost-of-living/food_costs,cost-of-living/medical_costs,cost-of-living/housing_costs,cost-of-living/tax_costs,cost_sum,p_cost,p_temperature,p_life,p_edu,p_safe,p_wealth,p_employment
"Antelope County, NE", NE,Antelope County NE,61.95786865,10.4,0.083197,21.7,47.4,73.4,49.7,48.05,40.8,88,81.22,6298,46981,12.2,11.3,12.89,3246,2783,5460,5385,16886.89,78,76,5,2,88,30,0
"Antrim County, MI", MI,Antrim County MI,154.0436457,11.3,0.093,21.8,44,68.3,48.8,45.725,31.3,994,80.13,23324,47070,9.6,9.3,12.55,3246,2594,5580,4752,16184.55,91,84,15,45,61,29,2
"Apache County, AZ", AZ,Apache County AZ,95.92126116,32.4,0.418588,31.8,48.7,71.3,51.7,50.875,35.9,2581,74.28,71887,34355,33.4,4.7,13.32,3792,2763,6024,5630,18222.32,44,64,91,16,79,84,41
"Appanoose County, IA", IA,Appanoose County IA,330.9171131,14.6,0.074125,23.1,51,75.1,52.8,50.5,37.3,313,78.33,12426,38478,19.3,7.3,13.55,3246,2791,5964,6243,18257.55,42,66,43,10,24,66,8
"Appling County, GA", GA,Appling County GA,162.6898048,19.9,0.466746,48.1,63.9,81,66.3,64.825,26.4,431,74.29,18386,33268,20.9,7.4,13.23,3177,2713,6156,5682,17741.23,54,10,91,80,58,87,8
"Appomattox County, VA", VA,Appomattox County VA,32.77613897,12.6,0.371659,35.1,55.4,75.9,56.8,55.8,31.1,410,77.5,15911,38302,12.6,6.4,14.03,3177,2866,7560,5789,19406.03,26,42,56,47,96,67,15
"Aransas County, TX", TX,Aransas County TX,246.3458696,17.1,0.458668,54.9,71,84,74.1,71,31.4,767,76.03,23510,48389,18.7,19.9,12.98,3177,2760,7488,3765,17202.98,69,1,75,44,38,26,0
"Arapahoe County, CO", CO,Arapahoe County CO,297.9886998,7,0.556092,31.6,47.9,72.5,49.9,50.475,29,28825,80.02,656590,60180,7.2,8.9,17.4,3792,2810,13368,6726,26713.4,2,66,17,63,28,7,3
"Archer County, TX", TX,Archer County TX,138.2329225,6.9,0.207306,42.2,63.4,84.3,64.8,63.675,31,208,79.29,8553,50310,10.3,6.8,12.31,3177,2760,6300,3572,15821.31,95,14,27,48,66,20,11
"Archuleta County, CO", CO,Archuleta County CO,196.8181073,9.4,0.364597,23.2,42.6,65.6,45.8,44.3,34.2,538,82.08,14029,41947,10.8,9.7,14.42,3792,2810,8316,5573,20505.42,16,90,1,24,48,50,2
"Arenac County, MI", MI,Arenac County MI,154.9686834,12.8,0.096748,20.1,43.3,68.1,47.6,44.775,34,675,77.24,14883,37369,17.2,11.5,12.55,3246,2594,5580,4752,16184.55,91,88,60,26,60,71,0
"Arkansas County, AR", AR,Arkansas County AR,591.1487458,17.2,0.444622,41,62.3,81.5,63.3,62.025,29.2,378,74.57,17486,45290,15.8,7,13.1,3177,2633,5616,6032,17471.1,60,19,89,62,5,35,10
"Arlington County, VA", VA,Arlington County VA,135.6122113,6,0.552435,36,56.8,79.8,59.5,58.025,11.2,6773,82.76,236842,95198,7.6,8,19.92,3177,2866,17484,8110,31656.92,0,33,0,99,67,0,5
"Armstrong County, PA", PA,Armstrong County PA,96.90633856,11.7,0.05112,26,48,70.5,50.2,48.675,24.6,3074,78.21,64735,45510,11.1,4.5,11.92,3690,2729,5808,3459,15697.92,96,74,45,88,79,34,46
"Armstrong County, TX", TX,Armstrong County TX,51.30836326,9.3,0.231825,36,55.3,77.6,57.6,56.625,41.6,39,77.22,1887,47995,10.6,14.2,12.79,3177,2760,7152,3711,16812.79,82,38,60,1,91,27,0
"Aroostook County, ME", ME,Aroostook County ME,84.21954179,15.3,0.102487,9.4,38,65.3,42.9,38.9,32,1613,78.71,67055,41241,15.5,6.6,13.74,3690,2634,6240,6899,19476.74,25,98,37,40,82,53,13
